name,description,ring,quadrant,Team,Count,isNew
Personas,Ask UX/design about user testing,Assess,Technique,Bash,1,TRUE
Remove Operator CSS Overrides,Easier to work with CSS,Assess,Technique,Bash,1,TRUE
Open Source,"Doing it, not just using it",Assess,Technique,Bash,1,TRUE
Conway's Law,,Assess,Technique,Bash,1,TRUE
Component Library,,Assess,Technique,Bash,1,TRUE
Evolving Architecture,,Assess,Technique,Bash,1,TRUE
Cross-functional Teams,,Assess,Technique,Bash,1,TRUE
Value Slice Ownership,,Assess,Technique,Bash,1,TRUE
Mob Programming,,Trial,Technique,Bash,1,TRUE
A/B Testing,,Trial,Technique,Bash,1,TRUE
Functional Programming,,Trial,Technique,Bash,1,TRUE
TDD,,Trial,Technique,Bash,1,TRUE
Continuous Delivery,Every story ready to release,Trial,Technique,Bash,1,TRUE
Similar Test and Prod Envs,,Trial,Technique,Bash,1,TRUE
Clean Out Old Stuff,"Handlebars, Backbone",Trial,Technique,Bash,1,TRUE
Perceived Performance,,Trial,Technique,Bash,1,TRUE
Guilds/Tribes,"CoPFE exists, others?",Trial,Technique,Bash,1,TRUE
Everyday Integration Tests,"Part of daily process, build on existing Cypress tests",Trial,Technique,Bash,1,TRUE
Exploratory Testing,,Adopt,Technique,Bash,1,TRUE
Secure by Default,,Adopt,Technique,Bash,1,TRUE
DevOps Culture,,Adopt,Technique,Bash,1,TRUE
Reason ML,,Assess,Language,Bash,1,TRUE
Redux-first-router,https://github.com/faceyspacey/redux-first-router use Redux as is while keeping the address bar in sync. State is the single source of truth.,Assess,Language,Bash,1,TRUE
Vue,,Assess,Language,Bash,1,TRUE
React Hooks,,Assess,Language,Bash,1,TRUE
Mob X,,Assess,Language,Bash,1,TRUE
PopMotion,https://popmotion.io/ animation library,Assess,Language,Bash,1,TRUE
react-spring,A spring physics based React animation library,Assess,Language,Bash,1,TRUE
Ramda,,Assess,Language,Bash,1,TRUE
Web components,,Assess,Language,Bash,1,TRUE
Emotion,https://emotion.sh CSS in JS,Assess,Language,Bash,1,TRUE
Immer js,Create the next immutable state by mutating the current one,Assess,Language,Bash,1,TRUE
Linaria,Css in js compile time,Assess,Language,Bash,1,TRUE
Styled components,https://www.styled-components.com/ CSS in JS,Assess,Language,Bash,1,TRUE
Feather js,Node framework (offline first),Assess,Language,Bash,1,TRUE
MDX,Jsx in MD,Assess,Language,Bash,1,TRUE
Cypress,,Trial,Language,Bash,1,TRUE
Jsdoc,Strict typing,Trial,Language,Bash,1,TRUE
Redux,,Trial,Language,Bash,1,TRUE
GraphQL,,Trial,Language,Bash,1,TRUE
VigorJs,,Adopt,Language,Bash,1,TRUE
React,,Adopt,Language,Bash,1,TRUE
Haskel,,Hold,Language,Bash,1,TRUE
Jquery,,Hold,Language,Bash,1,TRUE
Backbone,,Hold,Language,Bash,1,TRUE
iOS,OS,Adopt,Platforms,Bash,1,TRUE
Android,OS,Adopt,Platforms,Bash,1,TRUE
Docker,Everything needed to run an application in containers,Assess,Tools,Bash,1,TRUE
Error Monitoring,Some real tool instead of GA,Assess,Tools,Bash,1,TRUE
Tests in Browser Stack,Running tests in real mobile devices and browsers.,Assess,Tools,Bash,1,TRUE
Server Side Rendering,https://medium.freecodecamp.org/what-exactly-is-client-side-rendering-and-hows-it-different-from-server-side-rendering-bd5c786b340d,Assess,Tools,Bash,1,TRUE
Monitoring,,Adopt,Tools,Bash,1,TRUE
Mock Server,https://bitbucket.services.kambi.com/projects/BC/repos/tools/browse/html5-client-mock-server,Adopt,Tools,Bash,1,TRUE
Lighthouse,Running lighthouse audits with https://bitbucket.services.kambi.com/projects/BC/repos/tools/browse/lighthouse and showing results in https://client-tool.services.kambi.com/git/ ,Adopt,Tools,Bash,1,TRUE
Webpack,webpack is a static module bundler for modern JavaScript applications.,Adopt,Tools,Bash,1,TRUE
Performance testing,,Trial,Tools,Bash,1,TRUE
Performance monitoring,,Trial,Tools,Bash,1,TRUE
X as code,,Trial,Tools,Bash,1,TRUE
jQuery slim build,,Trial,Language,Bolt,1,TRUE
ECMAScript Stage 3 proposals,,Trial,Language,Bolt,1,TRUE
CSS Varialbes,,Trial,Language,Bolt,2,TRUE
Evolving Architecture,,Trial,Technique,Bolt,1,TRUE
HTTP2 / Server push,,Trial,Technique,Bolt,1,TRUE
Functional Programming,,Assess,Technique,Bolt,1,TRUE
Server Side Rendering,,Assess,Technique,Bolt,3,TRUE
Continuous Delivery,,Assess,Technique,Bolt,1,TRUE
Cross-functional Teams,,Assess,Technique,Bolt,1,TRUE
Time-travel debugging,,Assess,Technique,Bolt,1,TRUE
Animations,,Assess,Technique,Bolt,1,TRUE
Rust / WASM,,Hold,Language,Bolt,1,TRUE
React Native,,Hold,Language,Bolt,1,TRUE
Vue,,Hold,Language,Bolt,1,TRUE
ReasonML,,Hold,Language,Bolt,1,TRUE
Java,,Hold,Language,Bolt,1,TRUE
Electron,,Hold,Platforms,Bolt,1,TRUE
Flutter,,Hold,Platforms,Bolt,1,TRUE
A/B Testing,,Adopt,Technique,Bolt,1,TRUE
Prototyping - Invision,,Adopt,Technique,Bolt,1,TRUE
Pair programming,,Adopt,Technique,Bolt,1,TRUE
Exploratory Testing,,Adopt,Technique,Bolt,1,TRUE
Improve code reviews,,Adopt,Technique,Bolt,1,TRUE
"Discovery (UX research, design sprints)",,Adopt,Technique,Bolt,1,TRUE
Lab thursdays,,Adopt,Technique,Bolt,1,TRUE
Architectura Desicion Records,,Adopt,Technique,Bolt,1,TRUE
Meassure code complexity,,Adopt,Tools,Bolt,1,TRUE
Cypress,,Adopt,Tools,Bolt,1,TRUE
Test code coverage,,Adopt,Tools,Bolt,1,TRUE
"Charles, proxies",,Adopt,Tools,Bolt,1,TRUE
CSS Grid,,Adopt,Language,Bolt,1,TRUE
Service Worker,,Adopt,Language,Bolt,1,TRUE
React 16.8+ (Hooks),,Adopt,Language,Bolt,1,TRUE
Web Components,,Adopt,Language,Bolt,3,TRUE
IntersectionObserver,,Adopt,Language,Bolt,1,TRUE
ECMAScript 2018,,Adopt,Language,Bolt,1,TRUE
Redux Sagas,,Assess,Language,Bolt,1,TRUE
React Router,,Adopt,Language,Bolt,1,TRUE
TypeScript,,Adopt,Language,Bolt,2,TRUE
Redux,,Adopt,Language,Bolt,2,TRUE
Native iOS/Android,,Assess,Platforms,Bolt,1,TRUE
WebWorker,,Assess,Platforms,Bolt,1,TRUE
Cypress tests in BrowserStack,,Assess,Tools,Bolt,1,TRUE
Client SDK for iOS,,Assess,Tools,Bolt,1,TRUE
Docker,,Assess,Tools,Bolt,1,TRUE
WebPack 5,,Trial,Tools,Bolt,1,TRUE
Mob X,,Assess,Language,Bolt,1,TRUE
CSS-in-JS,,Assess,Language,Bolt,1,TRUE
Ramda,,Assess,Language,Bolt,1,TRUE
Houdini,,Assess,Language,Bolt,1,TRUE
TypeScript,,Hold,Language,Yolo,1,TRUE
Web Components,,Assess,Language,Yolo,1,TRUE
Common Kambi Code/Framework/Lib,,Assess,Language,Yolo,1,TRUE
Akita,,Assess,Language,Yolo,1,TRUE
Reason ML,,Assess,Language,Yolo,1,TRUE
AWS/Azure/Serverless,,Assess,Platforms,Yolo,1,TRUE
NPM/Yarn Voulnerability testing,,Assess,Technique,Yolo,1,TRUE
Functional Programming,,Assess,Technique,Yolo,2,TRUE
E2E tests in Browser Stack,,Assess,Technique,Yolo,1,TRUE
Micro Frontends,,Assess,Technique,Yolo,1,TRUE
Container (Docker),,Assess,Technique,Yolo,1,TRUE
TDD,,Trial,Technique,Yolo,1,TRUE
Track code coverage,,Trial,Technique,Yolo,1,TRUE
Client API in Chicago,,Trial,Technique,Yolo,1,TRUE
Wallaby.js,,Assess,Tools,Yolo,1,TRUE
Google Optimize,,Assess,Tools,Yolo,1,TRUE
Lighthouse,,Trial,Tools,Yolo,1,TRUE
Release tool for Chicago,,Trial,Tools,Yolo,1,TRUE
Google Analytics (Chicago),,Trial,Tools,Yolo,1,TRUE
Postman,,Adopt,Tools,Yolo,1,TRUE
Git,,Adopt,Tools,Yolo,1,TRUE
BitBucket,,Adopt,Tools,Yolo,1,TRUE
Jira,,Adopt,Tools,Yolo,1,TRUE
Webpack,,Adopt,Tools,Yolo,2,TRUE
Kit,,Adopt,Tools,Yolo,1,TRUE
Mobile first,,Adopt,Technique,Yolo,1,TRUE
BDD,,Adopt,Technique,Yolo,2,TRUE
Themeing (Sparkling?),,Adopt,Technique,Yolo,1,TRUE
Cross-functional Teams,,Adopt,Technique,Yolo,1,TRUE
DevOps,,Adopt,Technique,Yolo,2,TRUE
Pair programming,,Adopt,Technique,Yolo,1,TRUE
Scrum,,Adopt,Technique,Yolo,1,TRUE
Cypress,,Adopt,Language,Yolo,1,TRUE
React,,Adopt,Language,Yolo,2,TRUE
ES6,,Adopt,Language,Yolo,1,TRUE
Apollo,,Adopt,Language,Yolo,2,TRUE
Express,,Adopt,Language,Yolo,1,TRUE
Redux,,Adopt,Language,Yolo,2,TRUE
NodeJS,,Adopt,Language,Yolo,1,TRUE
React CSS/ JSS,,Adopt,Language,Yolo,2,TRUE
GraphQL,,Adopt,Language,Yolo,4,TRUE
AWS,,Adopt,Platforms,Yolo,1,TRUE
Jenkins,,Adopt,Platforms,Yolo,1,TRUE
Cloud,,Adopt,Platforms,Yolo,1,TRUE
Mobile,,Adopt,Platforms,Yolo,1,TRUE
Node.js,,Adopt,Language,Pool,1,TRUE
React,,Adopt,Language,Pool,1,TRUE
Redux,,Adopt,Language,Pool,1,TRUE
Express.js,,Adopt,Language,Pool,1,TRUE
Ramda,,Trial,Language,Pool,2,TRUE
MongoDB,,Trial,Language,Pool,3,TRUE
TypeScript,,Trial,Language,Pool,2,TRUE
Akita,,Assess,Language,Pool,1,TRUE
ReasonML,,Assess,Language,Pool,2,TRUE
ReactNative,,Assess,Language,Pool,2,TRUE
Native iOS/Android,,Assess,Language,Pool,1,TRUE
RxJS,,Assess,Language,Pool,1,TRUE
Loopback,,Assess,Language,Pool,1,TRUE
Vue,,Assess,Language,Pool,1,TRUE
MobX,,Hold,Language,Pool,1,TRUE
Next.js,,Hold,Language,Pool,1,TRUE
Haskel,,Hold,Language,Pool,1,TRUE
Java,,Hold,Language,Pool,1,TRUE
Go,,Hold,Language,Pool,1,TRUE
Cloudbased error reporting,,Adopt,Tools,Pool,1,TRUE
Cypress,,Adopt,Tools,Pool,2,TRUE
Lighthouse,,Adopt,Tools,Pool,1,TRUE
Functional Programming,,Adopt,Technique,Pool,1,TRUE
Pair programming,,Adopt,Technique,Pool,1,TRUE
Documented feature directories,,Adopt,Technique,Pool,1,TRUE
TDD,,Adopt,Technique,Pool,2,TRUE
Cross-functional Teams,,Adopt,Technique,Pool,1,TRUE
Micro Frontends,,Adopt,Technique,Pool,1,TRUE
Dev Ops Culture,,Adopt,Technique,Pool,1,TRUE
Open API 3,,Trial,Technique,Pool,1,TRUE
React Suspense,,Trial,Technique,Pool,1,TRUE
React Hooks,,Trial,Technique,Pool,1,TRUE
GraphQL,,Trial,Technique,Pool,3,TRUE
Containers,,Trial,Technique,Pool,2,TRUE
Open Source,,Assess,Technique,Pool,1,TRUE
Server Side Rendering,,Assess,Technique,Pool,1,TRUE
Web Assembly,,Assess,Technique,Pool,1,TRUE
Web Components,,Assess,Technique,Pool,1,TRUE
Parcel,,Trial,Tools,Pool,1,TRUE
Docker,,Trial,Tools,Pool,1,TRUE
Selenium,,Trial,Tools,Pool,1,TRUE
Stackoverflow groups,,Assess,Tools,Pool,1,TRUE
Alarm monitoring,,Assess,Tools,Pool,1,TRUE
Blockduck,,Assess,Tools,Pool,1,TRUE
GIS,,Hold,Technique,Pool,1,TRUE
Neural network,,Hold,Technique,Pool,1,TRUE
Inmemory databases,,Hold,Technique,Pool,1,TRUE
E2E tests in Browser Stack,,Assess,Technique,Wave,1,TRUE
X as code,,Assess,Technique,Wave,1,TRUE
Micro Services,,Trial,Technique,Wave,1,TRUE
Decoupled Web Components,,Trial,Technique,Wave,1,TRUE
Monorepo / multiple modules,,Trial,Technique,Wave,1,TRUE
Cross-functional Teams,,Trial,Technique,Wave,2,TRUE
Component ownership,,Trial,Technique,Wave,1,TRUE
Automated test using Cypress,,Adopt,Technique,Wave,1,TRUE
Consistent coding styles,,Adopt,Technique,Wave,1,TRUE
Design patterns,,Adopt,Technique,Wave,1,TRUE
Mobile first,,Adopt,Technique,Wave,1,TRUE
Pair testing,,Adopt,Technique,Wave,1,TRUE
KISS,,Adopt,Technique,Wave,1,TRUE
Pair programming,,Adopt,Technique,Wave,1,TRUE
TDD,,Adopt,Technique,Wave,1,TRUE
Mob programming,,Adopt,Technique,Wave,2,TRUE
Clean codebase,,Adopt,Technique,Wave,1,TRUE
CypressJS automated tests,,Adopt,Technique,Wave,1,TRUE
Security testing,,Adopt,Technique,Wave,1,TRUE
Portability,,Adopt,Technique,Wave,1,TRUE
Automated tests,,Adopt,Technique,Wave,2,TRUE
Machine Learning,,Adopt,Technique,Wave,1,TRUE
Web Components,,Assess,Language,Wave,2,TRUE
React Native,,Assess,Language,Wave,1,TRUE
Flutter,,Assess,Language,Wave,1,TRUE
Akita,,Assess,Language,Wave,1,TRUE
Vue,,Assess,Language,Wave,1,TRUE
ReasonML,,Assess,Language,Wave,1,TRUE
Ramda,,Trial,Language,Wave,1,TRUE
TypeScript,,Trial,Language,Wave,1,TRUE
Selenium,,Trial,Language,Wave,2,TRUE
Redux,,Adopt,Language,Wave,2,TRUE
React,,Adopt,Language,Wave,1,TRUE
GraphQL,,Adopt,Language,Wave,2,TRUE
Redux,,Adopt,Language,Wave,3,TRUE
React,,Adopt,Language,Wave,1,TRUE
React,,Adopt,Language,Wave,1,TRUE
Android,,Adopt,Platforms,Wave,1,TRUE
iOS,,Adopt,Platforms,Wave,1,TRUE
Kafka / Data pipeline,,Adopt,Platforms,Wave,1,TRUE
AWS,,Adopt,Platforms,Wave,1,TRUE
Jira,,Adopt,Tools,Wave,1,TRUE
Confluence,,Adopt,Tools,Wave,1,TRUE
Postgres,,Adopt,Tools,Wave,1,TRUE
Performance tools,,Adopt,Tools,Wave,1,TRUE
VS code,,Adopt,Tools,Wave,1,TRUE
Webpack,,Adopt,Tools,Wave,1,TRUE
Jenkins,,Adopt,Tools,Wave,1,TRUE
Testier,,Trial,Tools,Wave,1,TRUE
Kubernetes,,Trial,Tools,Wave,1,TRUE
Medrmaid diagrams,,Assess,Tools,Wave,1,TRUE
WallabyJS,,Assess,Tools,Wave,1,TRUE
SWC (Babel alternative),,Assess,Tools,Wave,1,TRUE
GitLab,,Assess,Tools,Wave,2,TRUE
VigorJS,,Hold,Tools,Wave,1,TRUE